Date,Close/Last,Volume,Open,High,Low
2021-07-27,61.1,506994,61.9,62.06,58.68
2021-07-28,62.35,651994,61.99,63.16,60.13
2021-07-29,62.19,405707,62.68,63.42,61.43
2021-07-30,61.71,460555,61.25,62.5,60.511
2021-08-02,63.01,798077,62.72,65.15,62.04
2021-08-03,62.1,526808,63.77,64.05,60.55
2021-08-04,61.01,584793,61.58,62.62,60.855
2021-08-05,63.46,586699,61.5,63.84,61.5
2021-08-06,64.04,576072,64.57,64.57,62.62
2021-08-09,69.97,1440406,67.52,70.125,64.75
2021-08-10,67.29,937203,70.27,71.17,66.2
2021-08-11,71.03,860410,67.17,71.11,67.03
2021-08-12,71.95,572491,71.41,72.19,69.47
2021-08-13,69.89,1757624,72.43,72.75,69.77
2021-08-16,69.57,614684,68.61,70.65,67.4878
2021-08-17,67.06,692048,68.32,68.59,65.38
2021-08-18,67.41,463148,67.34,69.18,66.39
2021-08-19,65.35,648917,66.38,67.39,64.41
2021-08-20,67.48,450716,65.05,67.63,64.955
2021-08-23,70.37,599361,68.91,70.73,68.15
2021-08-24,71.45,765502,71.0,71.93,70.52
2021-08-25,74.75,818916,71.38,74.93,71.05
2021-08-26,71.52,2417244,74.27,74.665,71.195
2021-08-27,74.94,797710,72.15,75.21,71.84
2021-08-30,72.55,373087,75.06,75.06,72.431
2021-08-31,72.35,1375494,72.64,73.28,71.68
2021-09-01,72.0,1223392,72.63,73.82,70.94
2021-09-02,71.3,784963,72.18,72.57,70.9
2021-09-03,70.06,1029281,71.19,71.58,69.02
2021-09-07,72.69,1336019,70.37,74.53,69.6
2021-09-08,70.97,1193700,72.15,73.36,70.36
2021-09-09,73.63,740790,70.72,74.45,70.71
2021-09-10,71.92,724078,73.9,74.0275,71.61
2021-09-13,73.8,1744108,72.45,74.12,70.57
2021-09-14,74.88,1223986,73.78,75.45,72.54
2021-09-15,78.57,1273977,74.88,79.2,73.88
2021-09-16,79.39,1357191,79.06,81.0,78.45
2021-09-17,76.52,9738876,79.2,80.84,76.3
2021-09-20,73.43,1005211,73.38,75.675,72.31
2021-09-21,73.73,793398,73.58,74.58,71.0132
2021-09-22,77.33,1037829,75.04,78.52,75.04
2021-09-23,79.73,1066430,78.16,80.5,77.53
2021-09-24,81.28,746918,79.44,82.58,79.44
2021-09-27,82.95,845036,80.72,83.43,80.72
2021-09-28,82.71,2158527,83.51,84.8,82.08
2021-09-29,84.11,917080,82.83,84.2,80.571
2021-09-30,83.07,1189998,84.8,84.99,82.8
2021-10-01,86.11,1641008,84.13,87.45,83.925
2021-10-04,82.51,1203399,85.7,86.135,81.99
2021-10-05,78.42,861708,82.46,83.45,77.64
2021-10-06,79.65,650399,77.59,80.2986,76.76
2021-10-07,81.61,573311,80.71,82.76,80.06
2021-10-08,78.89,330632,81.35,82.8031,78.87
2021-10-11,77.98,421827,78.61,79.52,77.87
2021-10-12,81.41,421323,78.96,81.78,78.57
2021-10-13,81.92,397373,81.82,82.78,80.5
2021-10-14,86.05,587198,83.95,86.49,83.285
2021-10-15,84.9,611345,88.31,89.16,84.76
2021-10-18,85.26,420067,84.02,85.6,82.42
2021-10-19,83.46,419506,87.04,87.21,83.29
2021-10-20,83.95,307806,83.22,84.86,82.0
2021-10-21,84.12,292742,83.58,85.49,83.26
2021-10-22,85.51,665955,85.11,85.76,83.62
2021-10-25,87.71,493441,85.54,87.77,84.85
