Date,Close/Last,Volume,Open,High,Low
2019-11-01,82.73,1154552,82.33,84.19,81.86
2019-11-04,82.98,1454611,82.87,83.65,81.5201
2019-11-05,81.52,1469076,83.7,83.75,79.76
2019-11-06,79.08,2096896,81.32,81.7193,78.5
2019-11-07,73.12,5102908,74.13,78.18,70.86
2019-11-08,77.96,1737604,73.01,78.23,72.3901
2019-11-11,77.49,1544571,77.02,77.55,74.16
2019-11-12,78.2,1667085,77.83,80.68,77.21
2019-11-13,75.19,1270484,77.61,78.08,74.855
2019-11-14,78.0,1139378,74.96,78.33,74.96
2019-11-15,81.57,1350048,78.89,81.63,77.63
2019-11-18,84.83,1968528,81.31,85.5961,80.52
2019-11-19,88.34,1699271,84.53,88.53,84.4
2019-11-20,88.98,2171677,88.5,90.23,87.05
2019-11-21,89.19,1416759,89.72,90.1,88.66
2019-11-22,89.78,1489090,89.2,91.095,88.91
2019-11-25,91.06,1501539,90.31,91.6095,89.84
2019-11-26,92.84,1787602,91.42,94.85,91.373
2019-11-27,94.98,835451,93.47,95.0,92.75
2019-11-29,95.32,381363,94.43,96.44,94.29
2019-12-02,92.0,1997948,95.99,96.29,90.89
2019-12-03,91.96,1296737,90.0,92.48,89.4
2019-12-04,92.36,1122151,92.75,93.73,91.64
2019-12-05,87.91,1280270,92.66,93.22,87.715
2019-12-06,86.42,1250689,89.32,90.0,86.29
2019-12-09,89.33,1807520,86.0,89.97,84.89
2019-12-10,92.08,1247289,88.63,92.13,87.2
2019-12-11,94.75,1033687,92.08,94.85,91.56
2019-12-12,97.0,2405513,94.52,97.06,94.07
2019-12-13,91.89,1543061,96.58,96.83,90.32
2019-12-16,95.42,1017459,92.5,95.98,92.0
2019-12-17,94.68,864704,95.0,95.27,91.09
2019-12-18,93.37,678181,94.96,95.66,92.92
2019-12-19,96.27,2078603,95.99,99.19,94.11
2019-12-20,95.91,1478467,97.25,97.25,94.15
2019-12-23,95.23,779763,96.37,97.34,94.35
2019-12-24,96.38,257091,94.99,96.38,94.3996
2019-12-26,98.44,895940,96.86,98.66,96.12
2019-12-27,97.82,1504636,98.67,98.67,96.5741
2019-12-30,92.28,1121907,97.4,97.43,92.1
2019-12-31,92.05,1055544,91.79,92.42,90.71
2020-01-02,96.95,1221323,93.21,96.98,92.51
2020-01-03,92.75,984444,95.62,97.13,92.335
2020-01-06,92.34,834893,91.44,93.13,90.88
2020-01-07,90.91,736002,93.02,93.02,90.77
2020-01-08,89.13,1471586,90.75,91.1577,88.44
2020-01-09,86.57,1494344,89.37,89.77,85.49
2020-01-10,87.61,1870554,86.81,88.21,85.76
2020-01-13,92.87,2615415,88.48,93.85,87.61
2020-01-14,86.02,4238581,92.14,92.19,84.06
2020-01-15,86.77,1520505,85.76,86.85,83.41
2020-01-16,87.21,2240962,87.44,88.0773,86.235
2020-01-17,84.0,1341820,87.69,87.91,84.0
2020-01-21,83.53,2404008,83.5,84.12,81.88
2020-01-22,83.72,1162586,83.91,85.32,82.63
2020-01-23,82.94,612914,83.21,83.7,81.8
2020-01-24,83.11,641265,83.39,84.04,81.78
2020-01-27,84.7,1379943,80.11,85.15,80.11
2020-01-28,84.94,1174133,85.38,85.65,83.43
2020-01-29,81.75,1271905,85.5,86.4,81.62
2020-01-30,79.88,2313994,80.55,80.86,78.59
