From merged_data,,,,,,,,,From SMCI,,,,,,,,,,,,,
Date,DPRIME,Close/Last,Volume,Open,High,Low,,,Date,Close/Last,Volume,Open,High,Low,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-11,3.25,30.93,448024,30.91,31.43,30.79,,,05/11/2015,$30.93 ,448024,$30.91 ,$31.43 ,$30.79 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-08,3.25,30.9,764485,30.5,31.47,30.11,,,05/08/2015,$30.90 ,764485,$30.50 ,$31.47 ,$30.11 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-07,3.25,30.1,583188,29.87,30.38,29.644,,,05/07/2015,$30.10 ,583188,$29.87 ,$30.38 ,$29.64 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-06,3.25,29.85,674350,29.72,30.52,29.68,,,05/06/2015,$29.85 ,674350,$29.72 ,$30.52 ,$29.68 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-05,3.25,29.1,500940,29.78,30,28.87,,,05/05/2015,$29.10 ,500940,$29.78 ,$30.00 ,$28.87 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-04,3.25,29.84,589370,29.3,30.17,29.29,,,05/04/2015,$29.84 ,589370,$29.30 ,$30.17 ,$29.29 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-05-01,3.25,29.28,468518,28.83,29.515,28.8,,,05/01/2015,$29.28 ,468518,$28.83 ,$29.52 ,$28.80 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-30,3.25,28.77,740101,29.67,30.03,28.34,,,04/30/2015,$28.77 ,740101,$29.67 ,$30.03 ,$28.34 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-29,3.25,29.84,1089215,29.49,29.98,28.86,,,04/29/2015,$29.84 ,1089215,$29.49 ,$29.98 ,$28.86 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-28,3.25,29.68,954581,30.66,30.75,29.56,,,04/28/2015,$29.68 ,954581,$30.66 ,$30.75 ,$29.56 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-27,3.25,30.79,974002,30.43,31.405,30.4,,,04/27/2015,$30.79 ,974002,$30.43 ,$31.41 ,$30.40 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-24,3.25,30.44,853644,31.21,31.52,30.16,,,04/24/2015,$30.44 ,853644,$31.21 ,$31.52 ,$30.16 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-23,3.25,31.23,768719,31.72,31.806,31.075,,,04/23/2015,$31.23 ,768719,$31.72 ,$31.81 ,$31.08 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-22,3.25,31.9,4052175,33.75,34,30.63,,,04/22/2015,$31.90 ,4052175,$33.75 ,$34.00 ,$30.63 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-21,3.25,34.81,1791775,37.2,37.52,34.56,,,04/21/2015,$34.81 ,1791775,$37.20 ,$37.52 ,$34.56 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-20,3.25,37.06,507926,36.92,37.86,36.81,,,04/20/2015,$37.06 ,507926,$36.92 ,$37.86 ,$36.81 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-17,3.25,36.81,455305,37.33,37.33,36.46,,,04/17/2015,$36.81 ,455305,$37.33 ,$37.33 ,$36.46 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16,3.25,37.77,530131,36.96,37.99,36.39,,,04/16/2015,$37.77 ,530131,$36.96 ,$37.99 ,$36.39 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15,3.25,36.95,703932,35.54,37.19,35.46,,,04/15/2015,$36.95 ,703932,$35.54 ,$37.19 ,$35.46 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-14,3.25,35.45,257050,35.41,35.78,35.08,,,04/14/2015,$35.45 ,257050,$35.41 ,$35.78 ,$35.08 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-13,3.25,35.32,369446,35.31,35.93,35.22,,,04/13/2015,$35.32 ,369446,$35.31 ,$35.93 ,$35.22 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-10,3.25,35.12,279373,34.6,35.42,34.42,,,04/10/2015,$35.12 ,279373,$34.60 ,$35.42 ,$34.42 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-09,3.25,34.54,321883,34.31,34.605,33.68,,,04/09/2015,$34.54 ,321883,$34.31 ,$34.61 ,$33.68 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-08,3.25,34.25,288237,33.73,34.7,33.69,,,04/08/2015,$34.25 ,288237,$33.73 ,$34.70 ,$33.69 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-07,3.25,33.67,264310,33.79,34.14,33.4109,,,04/07/2015,$33.67 ,264310,$33.79 ,$34.14 ,$33.41 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-06,3.25,33.67,250427,33.82,34.18,33.47,,,04/06/2015,$33.67 ,250427,$33.82 ,$34.18 ,$33.47 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-02,3.25,34.07,365682,33.76,34.3,33.76,,,04/02/2015,$34.07 ,365682,$33.76 ,$34.30 ,$33.76 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
