Date,Close/Last,Volume,Open,High,Low
2020-06-17,11.38,2483800,12.24,12.31,11.29
2020-06-18,11.46,1809808,11.21,11.78,11.12
2020-06-19,10.65,3583726,11.72,11.73,10.65
2020-06-22,10.89,2105661,10.61,11.12,10.46
2020-06-23,10.74,1741061,10.96,11.05,10.51
2020-06-24,10.07,2089182,10.5,10.62,10.035
2020-06-25,9.86,2760771,9.89,10.015,9.57
2020-06-26,9.81,3689642,9.91,10.105,9.63
2020-06-29,10.47,2070879,9.96,10.865,9.7465
2020-06-30,10.64,1868334,10.44,10.685,10.22
2020-07-01,10.59,1792870,10.71,11.12,10.5201
2020-07-02,10.83,2317516,10.88,11.1718,10.65
2020-07-06,11.04,2031668,11.15,11.47,10.65
2020-07-07,10.31,2034695,10.84,10.9,10.27
2020-07-08,10.46,2461323,10.23,10.49,9.96
2020-07-09,9.9,2407075,10.42,10.42,9.81
2020-07-10,9.75,2683136,9.85,10.065,9.6
2020-07-13,9.86,2250069,9.79,10.18,9.52
2020-07-14,10.06,2138261,9.81,10.11,9.53
2020-07-15,10.45,2692653,10.49,10.76,10.0473
2020-07-16,10.51,2050478,10.36,10.765,10.25
2020-07-17,9.97,2587633,10.5,10.5,9.94
2020-07-20,9.38,3786906,9.81,9.83,9.33
2020-07-21,9.86,2692812,9.45,10.11,9.42
2020-07-22,9.97,2357664,9.76,10.03,9.68
2020-07-23,10.22,2071168,9.94,10.27,9.9119
2020-07-24,9.84,2153447,10.21,10.43,9.83
2020-07-27,9.69,3366101,9.85,9.9096,9.41
2020-07-28,10.04,2057126,9.69,10.18,9.69
2020-07-29,10.33,2328460,10.0,10.5,10.0
2020-07-30,9.86,2201320,10.18,10.2,9.645
2020-07-31,9.63,2859397,9.84,9.92,9.55
2020-08-03,9.42,3057768,9.63,9.775,9.345
2020-08-04,9.55,2016129,9.36,9.66,9.36
2020-08-05,9.71,1909941,9.71,9.94,9.58
2020-08-06,9.48,2095531,9.71,9.79,9.47
2020-08-07,9.9,2359883,9.44,9.95,9.3
2020-08-10,10.5,2040214,10.03,10.6,9.95
2020-08-11,10.95,2920991,10.65,11.23,10.65
2020-08-12,10.81,1390617,11.0,11.22,10.545
2020-08-13,10.7,1438352,10.67,10.82,10.53
2020-08-14,10.82,1173043,10.67,10.88,10.37
2020-08-17,11.14,1848627,10.85,11.34,10.73
2020-08-18,10.36,2713471,10.77,10.81,10.11
2020-08-19,10.32,1164413,10.34,10.53,10.195
2020-08-20,10.06,1455096,10.28,10.44,10.015
2020-08-21,10.11,2124761,10.07,10.355,9.975
2020-08-24,10.58,2499379,10.06,10.71,10.06
2020-08-25,10.84,2164592,10.76,11.0,10.46
2020-08-26,11.13,5071242,11.18,11.57,10.96
2020-08-27,12.03,13709400,12.61,13.2,11.892
2020-08-28,12.31,5654626,12.22,12.36,11.675
2020-08-31,13.01,4724276,12.41,13.14,12.3201
2020-09-01,12.96,2750552,12.9,13.03,12.63
2020-09-02,12.7,3049843,13.16,13.29,12.57
2020-09-03,12.69,2694362,12.7,13.1,12.405
2020-09-04,13.6,3605136,12.93,13.64,12.75
2020-09-08,14.23,4124763,13.46,14.5,13.33
2020-09-09,14.54,3263294,14.04,14.56,13.83
2020-09-10,14.33,3054906,14.68,14.98,14.33
2020-09-11,14.26,1944464,14.52,14.65,14.005
2020-09-14,14.98,2685447,14.49,15.15,14.39
2020-09-15,15.2,2149617,15.15,15.4,14.89
2020-09-16,15.49,2096134,15.43,15.79,15.27
2020-09-17,15.35,1692825,15.23,15.76,15.04
2020-09-18,15.27,2278735,15.38,15.74,15.09
2020-09-21,14.69,1835100,14.92,15.01,14.62
2020-09-22,14.62,1934804,14.72,15.06,14.56
2020-09-23,14.58,1608779,14.86,15.085,14.54
2020-09-24,14.46,1652728,14.49,14.94,14.295
2020-09-25,14.61,930054,14.51,14.765,14.41
2020-09-28,14.76,1558513,14.81,15.13,14.65
2020-09-29,13.96,2128249,14.89,14.89,13.7
2020-09-30,13.93,1979645,14.08,14.48,13.77
2020-10-01,14.65,3191986,13.9,14.68,13.9
2020-10-02,15.2,2231203,14.28,15.25,14.1
2020-10-05,15.73,2875469,15.49,15.9,15.22
2020-10-06,15.54,2185212,15.76,16.12,15.44
2020-10-07,16.51,2237652,15.92,16.52,15.82
2020-10-08,16.88,2099397,16.52,16.9484,16.41
2020-10-09,16.37,1612642,16.98,17.2,16.35
2020-10-12,16.55,1713213,16.46,16.66,16.02
2020-10-13,16.3,1855951,16.55,16.75,16.23
2020-10-14,16.47,1899919,16.54,16.95,16.355
2020-10-15,16.6,1302871,16.42,16.66,16.23
2020-10-16,15.64,1406014,16.55,16.62,15.6224
2020-10-19,15.0,1766349,15.63,15.82,14.9
2020-10-20,15.06,1530332,15.15,15.5,15.04
2020-10-21,14.85,1253801,15.14,15.28,14.6601
2020-10-22,15.67,1612340,15.02,15.7,14.935
2020-10-23,15.91,1221395,15.74,15.93,15.445
2020-10-26,15.12,1988639,15.5,15.74,15.0
2020-10-27,14.92,1382849,15.1,15.1,14.62
2020-10-28,14.17,1639650,14.52,14.96,14.16
2020-10-29,14.29,925390,14.3,14.46,14.07
2020-10-30,14.22,1043951,14.2,14.42,14.04
2020-11-02,14.43,1431467,14.39,14.81,14.05
2020-11-03,15.13,2429370,14.74,15.23,14.5
2020-11-04,14.81,1181069,14.87,15.07,14.57
2020-11-05,15.34,1449055,14.92,15.85,14.9
2020-11-06,15.53,4430963,15.45,16.19,15.23
2020-11-09,18.67,5398965,16.6,18.92,16.31
2020-11-10,18.74,2486463,18.1,19.06,18.03
2020-11-11,18.07,2479852,18.8,18.8,17.7
2020-11-12,17.71,1413095,17.85,17.99,17.36
2020-11-13,18.06,968150,17.81,18.18,17.73
2020-11-16,19.0,1554370,18.78,19.02,18.01
2020-11-17,19.31,1657935,18.57,19.405,18.3473
2020-11-18,19.93,2287882,19.64,20.65,19.51
2020-11-19,20.47,1541785,19.94,20.5,19.8
2020-11-20,20.89,1736330,20.25,20.97,20.16
2020-11-23,22.69,5385653,21.21,22.77,21.09
2020-11-24,22.97,6160876,23.75,23.82,21.65
2020-11-25,22.83,2515471,22.44,22.97,21.98
2020-11-27,22.61,1681889,22.74,23.47,22.38
2020-11-30,20.74,4583583,22.4,22.5,20.74
2020-12-01,20.21,3735731,21.15,21.2017,19.6499
2020-12-02,20.75,1801095,20.16,21.09,19.77
2020-12-03,21.14,1738642,20.91,21.745,20.55
2020-12-04,21.27,1158901,21.08,21.32,20.32
2020-12-07,22.08,1712853,21.05,22.35,21.03
2020-12-08,21.86,1679309,21.94,22.62,21.81
2020-12-09,21.53,1640129,22.07,22.24,21.25
2020-12-10,21.59,986956,21.13,21.9,20.99
2020-12-11,20.69,1096026,21.31,21.72,20.45
2020-12-14,20.09,1220825,20.94,20.965,20.015
2020-12-15,20.55,1321433,20.17,20.74,20.0298
2020-12-16,20.28,712975,20.58,20.85,20.03
2020-12-17,20.66,746298,20.33,20.68,20.15
2020-12-18,20.04,1624588,20.64,20.8382,19.825
2020-12-21,19.46,1485365,19.6,19.98,19.38
2020-12-22,19.08,1183850,19.68,19.68,18.69
2020-12-23,20.52,1381147,19.2,20.63,19.2
2020-12-24,20.09,486189,20.56,20.67,19.91
2020-12-28,20.41,1015700,20.22,20.93,20.04
2020-12-29,20.3,1116301,20.42,20.7181,19.64
2020-12-30,20.71,1023219,20.39,20.78,20.35
2020-12-31,20.36,1030574,20.72,20.93,20.34
2021-01-04,20.49,2065755,20.51,21.25,20.25
2021-01-05,21.37,2320836,20.26,22.12,20.26
2021-01-06,22.24,1857297,21.98,22.65,21.67
2021-01-07,21.21,1311976,22.32,22.69,21.07
2021-01-08,21.53,1367835,21.44,21.91,21.01
2021-01-11,23.04,3928500,21.19,23.8197,21.19
2021-01-12,23.26,3710108,23.0,23.905,22.39
2021-01-13,23.7,1866779,22.98,24.2801,22.62
2021-01-14,23.7,2376245,23.93,24.7613,23.57
2021-01-15,24.26,1390012,23.45,24.26,23.16
2021-01-19,23.62,1066456,24.42,24.57,23.61
2021-01-20,23.6,878070,23.73,24.39,23.5
2021-01-21,24.09,1219465,23.69,24.39,23.68
2021-01-22,24.32,1044617,23.98,24.42,23.57
2021-01-25,24.42,2266739,24.5,25.84,23.79
2021-01-26,24.39,943078,24.75,24.97,24.0439
2021-01-27,22.89,1576612,23.95,24.24,22.7505
2021-01-28,23.58,1418036,22.99,24.07,22.99
2021-01-29,23.07,1538398,23.62,23.8,22.815
2021-02-01,23.01,1099653,23.07,23.29,22.29
2021-02-02,23.61,1380098,23.28,23.85,22.77
2021-02-03,24.66,1142408,23.91,24.89,23.77
2021-02-04,25.8,1083806,24.78,25.8,24.66
2021-02-05,26.04,814774,25.95,26.3,25.34
2021-02-08,25.5,1501663,26.28,26.67,25.38
2021-02-09,24.66,966034,25.41,25.41,24.62
2021-02-10,24.68,765243,24.85,25.03,24.18
2021-02-11,25.61,1596762,24.78,25.94,24.55
2021-02-12,25.1,607812,25.39,25.4331,24.73
2021-02-16,25.92,1052537,25.19,25.93,24.75
2021-02-17,26.34,1700679,25.54,26.53,25.08
2021-02-18,26.31,1005580,26.43,26.46,25.39
2021-02-19,26.92,1191481,26.27,27.04,25.99
2021-02-22,27.09,1332395,27.0,28.0,26.825
2021-02-23,26.69,1098437,26.85,27.15,25.425
2021-02-24,28.43,1489311,27.04,28.46,26.87
2021-02-25,27.48,1178926,28.6,28.69,27.3
2021-02-26,27.37,1489249,27.51,27.78,26.27
2021-03-01,27.62,1299971,28.11,28.43,27.33
